Source,ID,Description,Derived Data Needs,Data Content
NETCCN Phase 1 Task 2 MEC/MVP,4,"The NETCCN system will provide a means to generate timely communication (e.g. alerts, bulletins, etc.) to all users (broadcast) or to specific users, as appropriate","User alerts, bulletins, messages to all or specific users (patients and providers) to include important changes in patient status, system notifications, etc.","Alerts, Bulletins, Messages (patient alerts, system alerts)"
NETCCN Phase 1 Task 2 MEC/MVP,4,"The NETCCN system will utilize alerts and bulletins to highlight important information in the system (e.g. notifications, important changes in patient status, etc.)","User alerts, bulletins, messages to all or specific users (patients and providers) to include important changes in patient status, system notifications, etc.","Alerts, Bulletins, Messages (patient alerts, system alerts)"
NETCCN Phase 2 RPP,17,"f. Enhancements to NETCCN system alerts, bulletins, and other timely communications (e.g. system clinical practice guidelines, information about new system capabilities, urgent queries, etc.) for users, as appropriate","type of system communication (alert, bulletin, etc.) and recipient(s) of alert.","Alerts, Bulletins, Messages (patient alerts, system alerts)"
NETCCN Phase 2 RPP,Task 2A,• Provide alerts to designated and authorized team members as required.,"alert type, alert distribution, alert content","Alerts, Bulletins, Messages (patient alerts, system alerts)"
NETCCN Phase 2 RPP,Task 2B,"• Provide continuous, automated alert reporting to designated and authorized personal",,"Alerts, Bulletins, Messages (patient alerts, system alerts)"
NETCCN Phase 2 RPP,Task 3A,"• Develop automatic alert features for critical events (patient death, local facility census capacity thresholds, remote expert provider thresholds, etc.)","automated alert info - threshold for generating alert, type of alert, where alert was generated","Alerts, Bulletins, Messages (patient alerts, system alerts)"
NETCCN Phase 2 RPP,Task 2A,• Provide daily reports of clinical activities,daily report of clinical activities ,Clinical Activity Info
NETCCN Phase 2 RPP,Task 2B,• Provide daily reports of clinical activities through a data visualization portal,,Clinical Activity Info
NETCCN Phase 2 RPP,18,"g. Integration of training and educational materials to frontline clinicians, being asked to provide care outside scope of practice due to disaster/emergency conditions","Similar to e above - want to know the type of training, version of training materials used, method of deliery, feedback on training.",Clinical Training and Education Info
NETCCN Phase 2 RPP,16,"e. Integration of clinical decision support features that are specifically focused on lay and novice care providers working by necessity outside their scope of practice.  These enhancements can be achieved by numerous means, including, but not limited to, novel on-demand training, synchronous and asynchronous coaching and AI support features (e.g. chatbots et al.)","type of training (synchrononous/asynchronous coaching, chatbot, etc). Review/survey of training effectiveness (user feedback)","Clinical Training and Education Info

System Usability Info (User Feedback)

System Utilization Info (use of features)"
NETCCN Phase 2 RPP,3,provide access to expert consultation that increase capabilities of local caregivers and consequently increased local capacity to manage severe COVID-19 illness and improve patient outcomes.,"Before and during metrics - want to know initial capabilities (baseline) and then how the system was able to increase capacity (# caregivers, # beds, # experts before and during).","Hospital /facility capacity information (baseline without NETCCN)

Resource capacility, utilization, and management"
TiDE Learning Accelerator MPP,Components,"Funding for NETCCN performers to participate in local, regional and national-level telecritical
care simulation events.",simulation event data and information,NETCCN Deployment Event Info (includes exercises)
NETCCN Phase 1 Task 2 MEC/MVP,4,"The NETCCN system will accommodate patient “transfer” from one “Virtual Ward” to another.
The NETCCN system will allow remote expert users to identify and select from multiple “Virtual Wards”, the local care providers associated with those wards, and the patients assigned to them.
The NETCCN system will provide continuity of care (locally and remotely) from anywhere to anywhere","Patient and caretaker transfers between virtual wards.
Continuity of care - tracking patient movement across virtual wards.",Patient and Clinical Flow
NETCCN Phase 1 Task 2 MEC/MVP,13,The NETCCN system provided a means to track patient movement and flow that is documented and demonstrated,Track patient movement and flow (from virtual wards - home to inpatient to home).,Patient and Clinical Flow
NETCCN Phase 1 Task 2 MEC/MVP,4,"NETCCN System will allow both local care givers (e.g. physicians, nurses, advanced practice providers, emergency medical technicians, etc.). AND remote experts to establish multiple “Virtual Wards” and associate patients to those virtual wards and associate care teams/care team members to appropriate patients:",Patient association to virtual ward. Care team assocation to virtual ward and patients.,"Patient and Clinical Flow

Resource capacity, utilization, and management
"
NETCCN Phase 1 Task 2 MEC/MVP,4,"The NETCCN system will provide a means to collect and export common data registry elements and anonymized patient information (e.g. vital signs) for future analytics. At a minimum, these data registry elements will include the Society of Critical Care Medicine (SCCM) Case Report Forms (CRF) for COVID and All Hazards criteria, (to be provided by the government)","Common data registry elements, anonymized patient information (e.g. vitals) - SCCM CRF for COVID and All Hazards",Patient Encounter and Health Data
NETCCN Phase 1 Task 2 MEC/MVP,5,NETCCN will provide for documentation of care at both the local caregiver and remote expert levels,Collect all info captured by local caregiver (which may be a family member) and providers/clinicians,Patient Encounter and Health Data
NETCCN Phase 1 Task 2 MEC/MVP,7,NETCCN mobile app provides a means to collect survey data from appropriate end users,What is meant by survey? Health info filled out by the patient? System usability filled out by any user?,Patient Encounter and Health Data
Medical Device Interoperability and Autonomy (MDIA) RPP,Tech Reqts,"The NETCCN delivers point of need telemedicine solutions that allow remote experts to provide
advice to patients or local caregivers anywhere and at any time. NETCCN platforms will be able
to collect data about these encounters, as well as survey data and medical device, wearable, or
passive sensor data to better understand care needs in context (i.e., what patients and local
caregivers need from remote experts and how best to provide it), casualty problems, and medical
system resources.","encounter data, survey data (does this mean user feedback survey? Or questionnaire data?), device, wearable, and sensor data (type, measurement data, settings, location/placement), health problems, NETCCN system reasource info","Patient Encounter and Health Data

Patient Monitoring Information (medical devices and sensors, non-medical devices and sensors)

System Utilization Info

Resource capacity, utilization, and management"
NETCCN Phase 2 RPP,11,"allow the NETCCN system(s) to provide additional data for remote visualization, and record/archive health information that will be leveraged to develop and improve artificial intelligence (AI)/machine learning (ML) capabilities to aid future decision making and facilitate remote control of medical devices, as appropriate.  ",export patient health information to develop AI/ML capabilities,"Patient Encounter and Health Data

System Connectivity/Interface Info"
NETCCN Phase 2 RPP,15,"d. Enhancement of sharing of patient care responsibilities by care team members (physical and remote) to ensure simple, seamless and understandable workflow handoffs.  These workflow handoffs are the ability for one NETCCN clinical team to share or handoff care responsibilities of a patient or group of patients within a virtual ward to another clinical team without additional training.  These NETCCN system refinements are inclusive of both clinical shift changes and the need for additional clinical care team support services.  ","associate care team member with the data being captured (make sure we know who did what to the patient, or who recorded what) to manage workflow handoffs","Patient Encounter and Health Data

System User Info"
NETCCN Phase 2 RPP,6,"Phase 1 Effort: Capability for real time, essential clinical encounter documentation (SOAP note or similar concept) as well as asynchronous/synchronous data collection and reporting","Encounter documentation, type of data collected how it was collected (manual, asynchronous, synchronous), reports, ","Patient Encounter and Health Data

System Utilization Info

System Connectivity/Interface Info

"
NETCCN Phase 2 RPP,19,"h. Enhancement of integrated information sharing and reporting capabilities, including but not limited to:
• Reporting and data visualization tools of both patient and system level data are crucial for information sharing, dissemination of consensus best practice recommendations, measures of system stress, and rapid reallocation of resources
• Exporting patient level data to existing electronic medical records (EMRs) and/or personal health records (PHRs) when resources allow in accordance with HL7, FHIR and/or other applicable standards.
","patient health information, system ""health"" information - resource allocation, utilization, and capacity. 

Information about system level data reports generated/shared - when, who, format

Information about patient data exports - where into was exported, in what format (HL7, etc)","Patient Encounter and Health Info

System Connectivity/Interface Info"
NETCCN Phase 2 RPP,21,"j. Integration of remote patient monitoring within and outside of traditional hospital settings.  These capabilities must be scalable beyond the traditional healthcare environment to account for large scale patient volumes.  Furthermore, these remote patient monitoring capabilities must account for the sensing capabilities embedded into existing mobile devices (accelerometers, gyroscopes, microphones, cameras, GPS locators, proximity etc.) as well as increasingly available, wearable physiologic monitoring technologies.  NOTE: Specific home monitoring device selection(s) will be made within Task 1 of the Phase 2 NETCCN effort.","patient monitoring information - location of patient, sensor type, monitoring/measurement data.","Patient Monitoring Information (medical devices and sensors, non-medical devices and sensors)"
NETCCN Phase 2 RPP,22,"k. Integration of existing patient monitoring from selected medical devices, including, but not limited to physiological monitors, IV pumps, mechanical ventilators, and/or urimeters.  NOTE: Specific medical device selection(s) will be made within Task 1 of the Phase 2 NETCCN effort","medical device type, vendor, device settings, measurement data","Patient Monitoring Information (medical devices and sensors, non-medical devices and sensors)"
NETCCN Phase 2 RPP,23,"l. Integration of existing remote control capabilities for physiologic monitors, IV pumps, and mechanical ventilators through the NETCCN system.  NOTE: Specific medical device selection(s) will be made within Task 1 of the Phase 2 NETCCN effort.","medical device type, vendor, device settings, measurement data, device software and standards used ","Patient Monitoring Information (medical devices and sensors, non-medical devices and sensors)"
