Data Element ID,Data Content,Data Content Description,Class,Class Description,Element,Element Description,PHI,Data Structure [Applicable Standard(s)],Step/Phase #,Data Content Source
1.1.1,Patient Health Information,Information about a patient and their health history and care,Data Input,"Contains information about how the patient's health information was captured, including method and language of input",Input Method,"Contains information about the method/source used to input the patient healt information (e.g., manual, voice, monitoring device)

",,,2,NETCCN Phase 2 RPP
1.1.2,Patient Health Information,Information about a patient and their health history and care,Data Input,"Contains information about how the patient's health information was captured, including method and language of input",Input Language,The language used to input the patient information,,"Request for Comment (RFC) 5646, “Tags for Identifying Languages”, September 2009 (http://www.rfc-editor.org/info/rfc5646) See https://tools.ietf.org/html/bcp47",2,NETCCN Phase 2 RPP
1.1.3,Patient Health Information,Information about a patient and their health history and care,Data Input,"Contains information about how the patient's health information was captured, including method and language of input",Language Translation,Contains information about any language translation method or mechanism,,,2,NETCCN Phase 2 RPP
1.2.1,Patient Health Information,Information about a patient and their health history and care,Patient Health Surveys,Captures responses to patient health surveys / questionnaires (e.g. screening survey),Patient Health Surveys,,"May contain PHI (names, unique identifying numbers, unique identifying numbers, dates)",,1,NETCCN Phase 1 MECs
1.3.1,Patient Health Information,Information about a patient and their health history and care,Allergies and Intolerances,Represents harmful or undesirable physiological responses associated with exposure to a substance.,Substance (Medication),,,"RxNorm, January 4, 2021 Full Release Update",1,USCDIv1 July 2020
1.3.2,Patient Health Information,Information about a patient and their health history and care,Allergies and Intolerances,Represents harmful or undesirable physiological responses associated with exposure to a substance.,Substance (Drug Class),,,"SNOMED International, Systematized Nomenclature of Medicine Clinical Terms (SNOMED CT®) U.S. Edition, September 2020 Release",1,USCDIv1 July 2020
1.3.3,Patient Health Information,Information about a patient and their health history and care,Allergies and Intolerances,Represents harmful or undesirable physiological responses associated with exposure to a substance.,Reaction,,,"SNOMED International, Systematized Nomenclature of Medicine Clinical Terms (SNOMED CT®) U.S. Edition, September 2020 Release",1,USCDIv1 July 2020
1.4.1,Patient Health Information,Information about a patient and their health history and care,Assessment and Plan of Treatment,Represents a health professional’s conclusions and working assumptions that will guide treatment of the patient.,"Assessment and Plan of
Treatment",Represents a health professional’s conclusions and working assumptions that will guide treatment of the patient.,"May contain PHI (names, unique identifying numbers, dates, addresses)",,1,USCDIv1 July 2020
1.5.1,Patient Health Information,Information about a patient and their health history and care,Care Team Member(s),The specific person(s) who participate or are expected to participate in the care team.,Care Team Member(s),,PHI (names),,1,USCDIv1 July 2020
1.5.2,Patient Health Information,Information about a patient and their health history and care,Care Team Member(s),The specific person(s) who participate or are expected to participate in the care team.,Provider Name (New Proposed Data Element for USCDI v2),Name of person with responsibility for delivering health care or related services,PHI (names),,1,USCDIv2 DRAFT January 2021
1.5.3,Patient Health Information,Information about a patient and their health history and care,Care Team Member(s),The specific person(s) who participate or are expected to participate in the care team.,Provider Identifier (New Proposed Data Element for USCDI v2), An identifier that applies to the person in this role,PHI (unique identifying numbers),,1,USCDIv2 DRAFT January 2021
1.6.1,Patient Health Information,Information about a patient and their health history and care,Clinical Notes,Represents narrative patient data relevant to the respective note types.,Consultation Note,Contains the response to request from a clinician for an opinion or advice from another clinician. ,"May contain PHI (names, unique identifying numbers, dates, addresses, medical record numbers)","Logical Observation Identifiers Names and Codes (LOINC®) 2.69
Consult Note (LOINC® code 11488-4)",1,USCDIv1 July 2020
1.6.2,Patient Health Information,Information about a patient and their health history and care,Clinical Notes,Represents narrative patient data relevant to the respective note types.,Discharge Summary Note,A synopsis of a patient’s admission and course in a hospital or post-acute care setting.  ,"May contain PHI (names, unique identifying numbers, dates, addresses, medical record numbers)",Discharge Summary (LOINC® code 18842-5),1,USCDIv1 July 2020
1.6.3,Patient Health Information,Information about a patient and their health history and care,Clinical Notes,Represents narrative patient data relevant to the respective note types.,History & Physical,Documents the current and past conditions and observations of the patient.  ,"May contain PHI (names, unique identifying numbers, dates, addresses, medical record numbers)",History and Physical Note (LOINC® code 34117-2),1,USCDIv1 July 2020
