Round,Indicator,Group,Subgroup,Sample Size,Response,Percent
1,Provider offers telemedicine,Total,Total,,Yes,36.6
1,Provider offers telemedicine,Total,Total,,No,46.9
1,Provider offers telemedicine,Total,Total,,Do not know,5.2
1,Provider offers telemedicine,Total,Total,,No usual place of care,11.3
1,Provider offers telemedicine,Age group,18-44 years,"2,607",Total,100
1,Provider offers telemedicine,Age group,18-44 years,,Yes,30.2
1,Provider offers telemedicine,Age group,18-44 years,,No,45.9
1,Provider offers telemedicine,Age group,18-44 years,,Do not know,7
1,Provider offers telemedicine,Age group,18-44 years,,No usual place of care,16.9
1,Provider offers telemedicine,Age group,45-64 years,"2,380",Total,100
1,Provider offers telemedicine,Age group,45-64 years,,Yes,39.8
1,Provider offers telemedicine,Age group,45-64 years,,No,48.5
1,Provider offers telemedicine,Age group,45-64 years,,Do not know,4.1
1,Provider offers telemedicine,Age group,45-64 years,,No usual place of care,7.6
1,Provider offers telemedicine,Age group,65 years and over,"1,799",Total,100
1,Provider offers telemedicine,Age group,65 years and over,,Yes,45.9
1,Provider offers telemedicine,Age group,65 years and over,,No,46.5
1,Provider offers telemedicine,Age group,65 years and over,,Do not know,2.9
1,Provider offers telemedicine,Age group,65 years and over,,No usual place of care,4.6
1,Provider offers telemedicine,Race/Hispanic origin,White non-Hispanic,"4,506",Total,100
1,Provider offers telemedicine,Race/Hispanic origin,White non-Hispanic,,Yes,37.4
1,Provider offers telemedicine,Race/Hispanic origin,White non-Hispanic,,No,48.7
1,Provider offers telemedicine,Race/Hispanic origin,White non-Hispanic,,Do not know,4.8
1,Provider offers telemedicine,Race/Hispanic origin,White non-Hispanic,,No usual place of care,9.1
1,Provider offers telemedicine,Race/Hispanic origin,Black non-Hispanic,811,Total,100
1,Provider offers telemedicine,Race/Hispanic origin,Black non-Hispanic,,Yes,38.5
1,Provider offers telemedicine,Race/Hispanic origin,Black non-Hispanic,,No,42.9
1,Provider offers telemedicine,Race/Hispanic origin,Black non-Hispanic,,Do not know,5.8
1,Provider offers telemedicine,Race/Hispanic origin,Black non-Hispanic,,No usual place of care,12.9
1,Provider offers telemedicine,Race/Hispanic origin,Other non-Hispanic,529,Total,100
1,Provider offers telemedicine,Race/Hispanic origin,Other non-Hispanic,,Yes,34.1
1,Provider offers telemedicine,Race/Hispanic origin,Other non-Hispanic,,No,46.1
1,Provider offers telemedicine,Race/Hispanic origin,Other non-Hispanic,,Do not know,0
1,Provider offers telemedicine,Race/Hispanic origin,Other non-Hispanic,,No usual place of care,12.2
1,Provider offers telemedicine,Race/Hispanic origin,Hispanic,940,Total,100
1,Provider offers telemedicine,Race/Hispanic origin,Hispanic,,Yes,33.4
1,Provider offers telemedicine,Race/Hispanic origin,Hispanic,,No,43.5
1,Provider offers telemedicine,Race/Hispanic origin,Hispanic,,Do not know,5.2
1,Provider offers telemedicine,Race/Hispanic origin,Hispanic,,No usual place of care,17.9
1,Provider offers telemedicine,Sex,Male,"2,963",Total,100
1,Provider offers telemedicine,Sex,Male,,Yes,33.4
1,Provider offers telemedicine,Sex,Male,,No,48.9
1,Provider offers telemedicine,Sex,Male,,Do not know,4.9
1,Provider offers telemedicine,Sex,Male,,No usual place of care,12.9
1,Provider offers telemedicine,Sex,Female,"3,823",Total,100
1,Provider offers telemedicine,Sex,Female,,Yes,39.7
1,Provider offers telemedicine,Sex,Female,,No,45.1
1,Provider offers telemedicine,Sex,Female,,Do not know,5.5
1,Provider offers telemedicine,Sex,Female,,No usual place of care,9.8
1,Provider offers telemedicine,Education,High school graduate or less,"1,294",Total,100
1,Provider offers telemedicine,Education,High school graduate or less,,Yes,35
1,Provider offers telemedicine,Education,High school graduate or less,,No,45.7
1,Provider offers telemedicine,Education,High school graduate or less,,Do not know,5.1
1,Provider offers telemedicine,Education,High school graduate or less,,No usual place of care,14.2
1,Provider offers telemedicine,Education,Some college,"2,552",Total,100
1,Provider offers telemedicine,Education,Some college,,Yes,35.4
1,Provider offers telemedicine,Education,Some college,,No,49
1,Provider offers telemedicine,Education,Some college,,Do not know,5.2
1,Provider offers telemedicine,Education,Some college,,No usual place of care,10.3
1,Provider offers telemedicine,Education,Bachelor's degree or above,"2,940",Total,100
1,Provider offers telemedicine,Education,Bachelor's degree or above,,Yes,39.5
1,Provider offers telemedicine,Education,Bachelor's degree or above,,No,46.3
1,Provider offers telemedicine,Education,Bachelor's degree or above,,Do not know,5.3
1,Provider offers telemedicine,Education,Bachelor's degree or above,,No usual place of care,8.9
1,Provider offers telemedicine,Urbanization,Metropolitan,"6,050",Total,100
1,Provider offers telemedicine,Urbanization,Metropolitan,,Yes,36.7
