Round,Indicator,Group,Subgroup,Sample Size,Response,Percent,Standard Error,Suppression,Significant,Respondants
1,Provider offers telemedicine,Total,Total,6786,Total,100,,,,6786
1,Provider offers telemedicine,Total,Total,,Yes,36.6,0.8,,,2484
1,Provider offers telemedicine,Total,Total,,No,46.9,0.8,,,3183
1,Provider offers telemedicine,Total,Total,,Do not know,5.2,0.4,,,353
1,Provider offers telemedicine,Total,Total,,No usual place of care,11.3,0.7,,,767
1,Provider offers telemedicine,Age group,18-44 years,2607,Total,100,,,,2607
1,Provider offers telemedicine,Age group,18-44 years,,Yes,30.2,1.2,,,787
1,Provider offers telemedicine,Age group,18-44 years,,No,45.9,1.1,,,1197
1,Provider offers telemedicine,Age group,18-44 years,,Do not know,7,0.8,,,182
1,Provider offers telemedicine,Age group,18-44 years,,No usual place of care,16.9,1.1,,,441
1,Provider offers telemedicine,Age group,45-64 years,2380,Total,100,,,,2380
1,Provider offers telemedicine,Age group,45-64 years,,Yes,39.8,1.4,,,947
1,Provider offers telemedicine,Age group,45-64 years,,No,48.5,1.5,,,1154
1,Provider offers telemedicine,Age group,45-64 years,,Do not know,4.1,0.6,,,98
1,Provider offers telemedicine,Age group,45-64 years,,No usual place of care,7.6,0.7,,,181
1,Provider offers telemedicine,Age group,65 years and over,1799,Total,100,,,,1799
1,Provider offers telemedicine,Age group,65 years and over,,Yes,45.9,1.3,,,826
1,Provider offers telemedicine,Age group,65 years and over,,No,46.5,1.3,,,837
1,Provider offers telemedicine,Age group,65 years and over,,Do not know,2.9,0.5,,,52
1,Provider offers telemedicine,Age group,65 years and over,,No usual place of care,4.6,0.8,,,83
1,Provider offers telemedicine,Race/Hispanic origin,White non-Hispanic,4506,Total,100,,,,4506
1,Provider offers telemedicine,Race/Hispanic origin,White non-Hispanic,,Yes,37.4,1.3,,,1685
1,Provider offers telemedicine,Race/Hispanic origin,White non-Hispanic,,No,48.7,1.3,,,2194
1,Provider offers telemedicine,Race/Hispanic origin,White non-Hispanic,,Do not know,4.8,0.5,,,216
